11,,"482302,8",869,631
16,,,868,576
17,,,434,
17,,,566,?????
18,,,,
20,,,,
21,,,,
21,,,,
22,,,,
22,,,,
23,,,,
24,,,,
27,,,,
29,,,,
29,,,,
31,,,,
32,,,,
33,,,,
34,,,,
36,,,,
38,,,,
39,,,,
41,,,,
42,,,,
42,,,,
45,,,,
46,,,,
47,,,,
49,,,,
49,,,,
51,,,,
51,,,,
53,,,,
54,,,,
54,,,,
54,,,,
54,,,,
56,,,,
56,,,,
58,,,,
59,,,,
62,,,,
63,,,,
63,,,,
63,,,,
64,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
68,,,,
70,,,,
72,,,,
75,,,,
75,,,,
76,,,,
77,,,,
77,,,,
77,,,,
78,,,,
83,,,,
83,,,,
83,,,,
83,,,,
86,,,,
86,,,,
87,,,,
89,,,,
90,,,,
90,,,,
90,,,,
92,,,,
96,,,,
96,,,,
96,,,,
98,,,,
100,,,,
100,,,,
101,,,,
102,,,,
104,,,,
105,,,,
105,,,,
105,,,,
106,,,,
106,,,,
106,,,,
107,,,,
107,,,,
108,,,,
110,,,,
112,,,,
113,,,,
113,,,,
114,,,,
115,,,,
116,,,,
117,,,,
117,,,,
117,,,,
118,,,,
118,,,,
120,,,,
121,,,,
122,,,,
123,,,,
123,,,,
124,,,,
124,,,,
128,,,,
129,,,,
131,,,,
131,,,,
131,,,,
132,,,,
135,,,,
139,,,,
140,,,,
140,,,,
141,,,,
142,,,,
144,,,,
145,,,,
145,,,,
145,,,,
145,,,,
146,,,,
147,,,,
149,,,,
150,,,,
151,"120,8",,,
151,"120,8",,,
151,"120,8",,,
153,"122,4",,,
153,"122,4",,,
154,"123,2",,,
154,"123,2",,,
155,124,,,
158,"126,4",,,
159,"127,2",,,
159,"127,2",,,
159,"127,2",,,
160,128,,,
161,"128,8",,,
163,"130,4",,,
169,"135,2",,,
169,"135,2",,,
170,136,,,
171,"136,8",,,
172,"137,6",,,
172,"137,6",,,
172,"137,6",,,
173,"138,4",,,
