99919	91077																																							
99911	15602																																							
99911	8623																																							
99889	26716																																							
99886	94208																																							
99869	8151																																							
99854	43529																																							
99853	33014																																							
99845	64120																																							
99843	59048																																							
99800	91319																																							
99775	61199																																							
99771	16149																																							
99768	28314																																							
99761	9895																																							
99759	7132																																							
99748	34249																																							
99714	71866																																							
99697	69648																																							
99692	3948																																							
99639	19224																																							
99587	45669																																							
99579	31962																																							
99561	92096																																							
99543	65254																																							
99531	21152																																							
99514	40386																																							
99503	80977																																							
99483	76732																																							
99454	73799																																							
99337	35048																																							
99321	7083																																							
99319	34473																																							
99287	27969																																							
99227	72889																																							
99203	91304																																							
99195	76666																																							
99192	20614																																							
99174	93160																																							
99170	89662																																							
99085	53495																																							
99081	44968																																							
99070	86236																																							
99062	83819																																							
99060	88849																																							
99038	58737																																							
98986	25808																																							
98984	68506																																							
98955	1618																																							
98933	33306																																							
98896	56724																																							
98872	53458																																							
98805	46810																																							
98770	42243																																							
98754	59657																																							
98738	36314																																							
98694	68215																																							
98667	39865																																							
98661	64000																																							
98654	42012																																							
98613	83990																																							
98606	76653																																							
98599	31366																																							
98590	94818																																							
98585	67692																																							
98567	76678																																							
98564	10221																																							
98558	20330																																							
98547	54987																																							
98547	6076																																							
98538	48165																																							
98489	5143																																							
98474	72408																																							
98462	278																																							
98407	37387																																							
98304	77073																																							
98288	95341																																							
98254	22755																																							
98245	66245																																							
98239	61076																																							
98195	30870																																							
98179	82865																																							
98170	24510																																							
98152	4861																																							
98132	65776																																							
98127	65059																																							
98090	77361																																							
98048	53030																																							
98018	39738																																							
97992	21405																																							
97969	6592																																							
97968	57344																																							
97953	76720																																							
97917	3628																																							
97910	52052																																							
97886	99657																																							
97844	25527																																							
97796	87042																																							
97778	85052																																							
97755	79650																																							
97701	75327																																							
97699	45363																																							
97695	195																																							
97693	28419																																							
97688	94111																																							
97683	60330																																							
97659	67774																																							
97643	52221																																							
97630	10003																																							
97629	25322																																							
97591	61711																																							
97586	82459																																							
97579	24582																																							
97565	62729																																							
97559	19668																																							
97542	44280																																							
97530	72198																																							
97520	44477																																							
97517	21531																																							
97514	1415																																							
97441	33668																																							
97424	49010																																							
97411	36607																																							
97406	86497																																							
97380	27235																																							
97375	67625																																							
97361	90244																																							
97357	82295																																							
97349	38517																																							
97337	77490																																							
97329	60190																																							
97324	44325																																							
97307	70821																																							
97303	58392																																							
97297	51994																																							
97271	57330																																							
97257	34942																																							
97248	12193																																							
97242	76787																																							
97213	60516																																							
97128	40398																																							
97111	72240																																							
97102	2516																																							
97083	98447																																							
97074	27963																																							
97070	29269																																							
97040	57643																																							
97033	66087																																							
97006	47535																																							
96972	66815																																							
96966	47212																																							
96896	47891																																							
96856	49109																																							
96835	65184																																							
96826	62063																																							
96769	81181																																							
96752	90219																																							
96745	38874																																							
96739	44254																																							
96710	80857																																							
96710	78337																																							
96700	48473																																							
96689	23151																																							
96675	76589																																							
96618	16478																																							
96552	73591																																							
96550	83630																																							
96526	70352																																							
96481	51716																																							
96475	48459																																							
96474	23528																																							
96445	50896																																							
96444	73425																																							
96426	98618																																							
96418	73837																																							
96405	19854																																							
96397	77325																																							
96390	13114																																							
