4500	3250
3910	284
1054	4212
4264	2422
3166	1666
3621	1821
3481	2508
3944	3825
778	619
2388	4358
950	1909
5151	2344
4343	1778
4535	5135
2070	2326
783	2640
2980	4797
2306	2090
2031	1031
1425	1452
1499	1558
3912	3022
2440	4887
1469	4207
1656	2500
957	4640
829	1654
3489	2008
4796	3912
2855	3880
839	500
3989	2556
1301	4903
1910	3364
3041	1526
5185	4156
4608	1611
3815	1168
5040	990
889	3766
1842	325
3168	328
4005	4997
3996	794
702	4704
2351	4962
5209	286
1949	3078
812	4333
1460	1961
3603	1209
1751	893
1246	1957
1996	4431
4575	1620
4546	4418
505	2466
2654	3098
4009	1625
3413	3374
2714	4038
822	4828
809	3546
4890	4864
2384	4370
3418	4886
715	3177
1061	1826
2254	4959
2292	2522
4086	4672
3725	4660
1003	578
1397	4473
2379	3518
780	3509
887	4475
789	2218
4499	4976
3036	3780
2650	5000
1488	4850
3692	1793
5154	3751
3474	491
3214	226
4471	3858
2196	1099
3007	4130
3375	2695
4454	1495
357	3514
3044	4085
593	4464
2400	2210
4256	4841
3160	4883
3637	1754
1708	4599
4191	3690
4707	2618
3197	4181
4496	1393
416	1134
4989	2729
713	3793
1818	2551
2195	3333
1840	883
2543	3602
4751	1523
1818	4456
1418	712
1500	1244
3061	699
2537	4410
266	1087
708	4782
5000	3178
549	4706
1340	984
4642	3163
1433	298
3467	3331
2674	1032
1078	2020
1750	1787
1882	4149
3802	5036
3122	298
2473	1307
4958	3528
231	3622
722	4746
3502	3004
4840	4409
4619	619
970	3994
2049	2937
591	3233
3964	3265
2245	4224
2635	1819
5035	1272
2036	4447
4712	2037
3183	1859
3010	310
428	4445
4096	3308
4792	4162
3010	3246
3184	719
1447	1407
1689	590
2845	1610
4967	2022
984	3370
1776	4170
1418	5118
4856	537
1685	3948
1795	4180
1648	3431
1082	3819
5045	1630
3309	975
2391	227
4170	301
4185	1077
3200	230
3999	370
4923	4078
3552	4661
2198	3880
938	3173
4682	2263
2571	5184
4056	4662
3800	4543
4847	823
1342	2515
2168	2112
1871	4848
3130	4289
393	523
2672	2134
3268	4111
4643	4153
2884	4981
2060	1610
359	3219
1530	3622
4618	4127
1497	409
231	1351
507	4389
1747	1643
849	888
2503	2416
4929	4732
5197	3124
1991	2008
1025	2785
4275	3455
4938	1978
2498	1331
4971	2850
2659	4908
1027	1950
1327	2421
5079	1678
1988	2027
4055	4615
652	3126
2291	3600
4008	373
1560	2314
2736	599
4355	4612
4878	3927
4773	739
3800	3908
349	3445
1717	1063
1030	4572
2229	4938
5039	5044
478	2984
4893	3010
658	2411
5179	1821
4598	262
3313	2671
4763	4520
4944	2586
2167	3450
2154	1154
3730	781
3931	4355
4261	1085
1639	4939
3563	4263
2523	707
2022	4254
2591	249
2746	3500
1642	1218
3569	5170
3283	1468
4625	4378
3516	2661
2082	3689
3897	486
2104	4774
4153	4644
2045	268
731	3241
3539	1656
637	2897
4044	3050
1126	3254
3609	4020
3421	2453
479	3641
3892	3455
1126	1993
484	4842
4212	3914
4581	4402
4544	2503
4617	4660
4387	229
4516	2349
2311	319
4409	2081
5137	918
1912	2130
2685	1478
2644	2517
2151	4195
1786	1532
3672	302
1021	2086
2111	5183
271	3952
3175	2862
1164	1177
1527	2039
2361	3335
4106	443
2957	4926
724	2065
3242	1163
2278	4235
3253	2291
4876	4976
4108	5074
2782	5050
1070	3036
2697	2645
1044	1670
5027	436
459	448
3943	3713
5017	729
1783	3975
2021	631
1277	3467
4542	859
2844	4067
4233	294
2739	1089
2580	1899
2931	1794
1920	1736
2482	3081
2606	2993
639	4362
3696	515
3039	3971
1843	4168
2875	5115
2917	508
945	890
1391	334
4113	1036
970	3818
4396	3492
4832	1407
2998	3817
698	299
307	1910
1990	1627
2654	3751
5158	4446
4222	1323
378	3738
1368	1355
4775	4784
3148	2636
2580	339
2157	2887
3460	4884
2288	1751
2994	3553
3905	4916
1674	3460
3932	1432
3708	1596
1220	2968
2714	4344
3913	2655
784	3681
3585	1983
1650	4931
1550	3605
3247	1922
4810	2835
1824	1119
3647	1283
1897	876
3272	3131
2526	439
3303	265
2011	2005
4850	842
731	4535
1864	4917
4194	3653
2030	1216
475	3493
985	2354
1288	4390
1002	770
2317	2224
2073	3089
418	1221
3057	1717
4564	3143
885	2765
1359	1101
2456	3975
3206	1796
2903	982
3538	5222
3885	5024
845	846
331	4416
929	929
1623	1717
2852	3404
4148	3617
2420	885
1603	5113
3585	2893
3876	2927
2434	3325
2782	242
932	2230
671	1497
1835	4861
4569	1954
1901	623
3137	3344
4444	3293
3684	3554
5219	3190
2403	2308
1762	752
2921	620
3654	2632
3318	4421
4405	2182
2443	4727
4952	1049
3629	1265
1018	2741
3562	371
4523	4832
3252	4100
2039	1354
2576	2602
1798	3487
1122	1243
3949	4082
2406	4499
522	2179
2782	497
2165	4514
3771	513
477	326
863	2036
1876	1536
4474	2520
276	3102
4028	4191
1806	242
408	4313
1002	961
3603	2248
3115	1030
3969	4408
355	2786
1081	837
4041	2653
3181	2296
4074	364
651	5142
3722	5200
3612	1991
1464	3055
439	3246
3152	3411
4155	3075
3181	2717
2168	1946
2407	3393
1260	3541
1244	1704
1133	4393
520	3535
1321	1102
4973	3730
2134	2771
2906	428
3798	849
5103	3072
5017	2243
1149	860
5085	777
1687	2960
1139	3001
3001	1153
3005	3311
2369	1576
4188	4181
1554	503
1662	3781
1488	4961
1042	1185
3821	590
3682	663
1739	4485
2553	334
3741	3541
2603	4630
2124	3614
3623	476
3068	2614
318	3434
4736	1871
1037	2989
3673	1150
741	522
4059	3849
3917	3620
1951	1459
4433	1011
4275	4479
4931	1301
1685	1511
3095	4373
4058	4713
4392	1703
1196	5128
2916	4612
4846	1449
3673	247
1197	618
274	1539
2574	4969
2360	410
1200	2378
3409	4325
1950	5056
3062	2010
1181	1607
1975	5183
4453	4862
719	3726
1537	4180
2750	745
2906	3509
3686	4325
481	869
368	3282
887	3423
2554	858
1686	2973
726	518
3723	2627
438	5121
1638	2382
1102	3733
1892	1187
3607	2850
4882	3984
3112	4811
2059	3049
3295	517
402	1363
2788	2983
2327	3253
4651	1513
4736	1158
546	4664
4731	4775
1512	3075
286	1097
1091	4960
4357	1029
4068	4895
992	3926
4767	2944
4998	793
3098	4914
4851	1938
2229	3984
2917	944
3660	1593
2424	2098
3941	3179
1026	1887
2571	4504
2930	1853
4028	4222
233	1838
744	1499
1288	931
1109	2166
1156	534
2565	2341
1905	1315
302	4286
5015	1942
2123	3915
309	3087
2079	2328
3217	2493
3053	3892
4249	4443
